name,provenance,special_id,courseList
Data Science,Johns Hopkins University,spc00001,"csr00001, csr00002, csr00003, csr00004, csr00005, csr00006, csr00007, csr00008, csr00009, csr00010"
Data Science Math Skills,Duke University,spc00002,"csr00011, csr00012, csr00013, csr00014, csr00015"
Data Analysis and Presentation Skills: the PwC Approach,PwC,spc00003,"csr00016, csr00017, csr00018, csr00019, csr00020"
Data Visualization with Tableau,"University of California, Davis",spc00004,"csr00021, csr00022, csr00023, csr00024, csr00025, csr00026"
A Crash Course in Data Science,Johns Hopkins University,spc00005,"csr00027, csr00028, csr00029, csr00030, csr00031, csr00032"
Data Mining ,University of Illinois at Urbana-Champaign,spc00006,"csr00033, csr00034, csr00035, csr00036, csr00037"
Big Data,"University of California, San Diego",spc00007,"csr00038, csr00039, csr00040, csr00041, csr00042"
Applied Data Science with Python,University of Michigan,spc00008,"csr00043, csr00044, csr00045, csr00046, csr00047"
Data Analysis and Interpretation,Wesleyan University,spc00009,"csr00048, csr00049, csr00050, csr00051, csr00052, csr00053"
Big Data for Data Engineers,Yandex,spc00010,"csr00054, csr00055, csr00056, csr00057, csr00058"
Data Structures and Algorithms,"University of California, San Diego, Higher School of Economics",spc00011,"csr00059, csr00060, csr00061, csr00062, csr00063, csr00064, csr00065, csr00066"
Executive Data Science,Johns Hopkins University,spc00012,"csr00067, csr00068, csr00069, csr00070, csr00071"
Genomic Data Science,Johns Hopkins University,spc00013,"csr00072, csr00073, csr00074, csr00075, csr00076, csr00077, csr00078"
Data Warehousing for Business Intelligence,University of Colorado System,spc00014,"csr00079, csr00080, csr00081, csr00082"
Survey Data Collection and Analytics ,"University of Michigan, University of Maryland, College Park",spc00015,"csr00083, csr00084, csr00085, csr00086, csr00087"
Master of Computer Science in Data Science (MCS-DS),,spc00016,"csr00153, csr00154, csr00155, csr00156"
"Algorithms, Part I",Princeton University,spc00017,"csr00157, csr00158, csr00159, csr00160, csr00161, csr00162"
"Algorithms, Part II",Princeton University,spc00018,"csr00163, csr00164, csr00165, csr00166, csr00167"
Object Oriented Java Programming: Data Structures and Beyond,"University of California, San Diego",spc00019,"csr00191, csr00192, csr00193, csr00194, csr00195, csr00196, csr00197"
Convolutional Neural Networks,deeplearning.ai,spc00020,"csr00198, csr00199, csr00200, csr00201"
        (MCS-DS),,spc00021,"csr00262, csr00263, csr00264, csr00265, csr00266"
Pattern Discovery in Data Mining,University of Illinois at Urbana-Champaign,spc00022,"csr00267, csr00268, csr00269, csr00270, csr00271, csr00272, csr00273, csr00274, csr00275, csr00276"
Command Line Tools for Genomic Data Science,Johns Hopkins University,spc00023,"csr00277, csr00278, csr00279, csr00280"
Internet Giants: The Law and Economics of Media Platforms,The University of Chicago,spc00024,"csr00281, csr00282, csr00283, csr00284, csr00285, csr00286"
"Nanotechnology and Nanosensors, Part1",Technion - Israel Institute of Technology,spc00025,"csr00287, csr00288, csr00289, csr00290, csr00291"
Introduction to MongoDB,MongoDB Inc.,spc00026,"csr00301, csr00302, csr00303, csr00304, csr00305, csr00306"
Neural Networks and Deep Learning,deeplearning.ai,spc00027,"csr00307, csr00308, csr00309, csr00310, csr00311"
 (MCS-DS),,spc00028,"csr00312, csr00313, csr00314, csr00315"
Spanish Vocabulary: Meeting People,"University of California, Davis",spc00029,"csr00316, csr00317, csr00318, csr00319, csr00320"
Ruby on Rails Web Development,Johns Hopkins University,spc00030,"csr00342, csr00343, csr00344"
Genome Assembly Programming Challenge,"University of California, San Diego, Higher School of Economics",spc00031,"csr00345, csr00346, csr00347, csr00348, csr00349, csr00350"
"Parallel, Concurrent, and Distributed Programming in Java",Rice University,spc00032,"csr00351, csr00352, csr00353, csr00354, csr00355"
Software Design Threats and Mitigations,University of Colorado System,spc00033,"csr00361, csr00362, csr00363, csr00364, csr00365"
Character Design for Video Games,California Institute of the Arts,spc00034,"csr00366, csr00367, csr00368, csr00369, csr00370"
From Data to Insights with Google Cloud Platform,Google Cloud,spc00035,"csr00383, csr00384, csr00385, csr00386"
Real-Time Cyber Threat Detection and Mitigation,New York University Tandon School of Engineering,spc00036,"csr00387, csr00388, csr00389, csr00390, csr00391, csr00392, csr00393"
Secure Software Design,University of Colorado System,spc00037,"csr00394, csr00395, csr00396, csr00397, csr00398"
Structuring Machine Learning Projects,deeplearning.ai,spc00038,"csr00399, csr00400, csr00401, csr00402"
Internet of Things: How did we get here?,"University of California, San Diego",spc00039,"csr00403, csr00404, csr00405, csr00406, csr00407"
,Ludwig-Maximilians-Universitt Mnchen (LMU),spc00040,"csr00408, csr00409, csr00410, csr00411, csr00412"
"Trabaja inteligentemente, no ms duro: Gestin del tiempo para la productividad personal y profesional ","University of California, Irvine",spc00041,"csr00413, csr00414, csr00415, csr00416"
Digital Manufacturing & Design Technology ,"The State University of New York, University at Buffalo",spc00042,"csr00428, csr00429, csr00430, csr00431, csr00432, csr00433"
Internet of Things,"University of California, San Diego",spc00043,"csr00434, csr00435, csr00436, csr00437"
Architecting with Google Cloud Platform,Google Cloud,spc00044,"csr00438, csr00439, csr00440, csr00441, csr00442"
Introduction to Discrete Mathematics for Computer Science,"Higher School of Economics, University of California, San Diego",spc00045,"csr00443, csr00444, csr00445, csr00446, csr00447"
Android App Development,Vanderbilt University,spc00046,"csr00523, csr00524, csr00525, csr00526, csr00527"
Java Programming and Software Engineering Fundamentals,Duke University,spc00047,"csr00562, csr00563, csr00564, csr00565, csr00566"
Learn to Program: The Fundamentals,University of Toronto,spc00048,"csr00572, csr00573, csr00574"
Web Applications for Everybody,University of Michigan,spc00049,"csr00595, csr00596, csr00597, csr00598"
Building Web Applications in PHP,University of Michigan,spc00050,"csr00599, csr00600, csr00601, csr00602, csr00603"
Python for Everybody,University of Michigan,spc00051,"csr00604, csr00605, csr00606, csr00607, csr00608"
Using Python to Access Web Data,University of Michigan,spc00052,"csr00609, csr00610, csr00611, csr00612, csr00613, csr00614"
Web Application Development: Basic Concepts,University of New Mexico,spc00053,"csr00615, csr00616, csr00617, csr00618, csr00619"
Web Design for Everybody (Basics of Web Development and Coding),University of Michigan,spc00054,"csr00620, csr00621, csr00622, csr00623, csr00624, csr00625"
Mathematical Foundations for Cryptography,University of Colorado System,spc00055,"csr00645, csr00646, csr00647, csr00648"
Applied Cryptography,University of Colorado System,spc00056,"csr00667, csr00668, csr00669, csr00670"
Cryptographic Hash and Integrity Protection,University of Colorado System,spc00057,"csr00671, csr00672, csr00673, csr00674, csr00675, csr00676, csr00677"
Global Challenges in Business,University of Illinois at Urbana-Champaign,spc00058,"csr00678, csr00679, csr00680, csr00681, csr00682, csr00683"
Vital Signs: Understanding What the Body Is Telling Us,University of Pennsylvania,spc00059,"csr00684, csr00685, csr00686, csr00687, csr00688"
Responsive Website Development and Design,"University of London, Goldsmiths, University of London",spc00060,"csr00689, csr00690, csr00691, csr00692, csr00693"
Practical Machine Learning,Johns Hopkins University,spc00061,"csr00694, csr00695, csr00696, csr00697, csr00698"
Introduction to the Internet of Things and Embedded Systems,"University of California, Irvine",spc00062,"csr00713, csr00714, csr00715, csr00716, csr00717, csr00718"
A developer's guide to the Internet of Things (IoT),IBM,spc00063,"csr00719, csr00720, csr00721, csr00722, csr00723, csr00724, csr00725, csr00726, csr00727, csr00728"
Cybersecurity Policy for Aviation and Internet Infrastructures,University of Colorado System,spc00064,"csr00729, csr00730, csr00731, csr00732, csr00733"
Master of Business Administration (iMBA),,spc00065,"csr00754, csr00755, csr00756, csr00757, csr00758, csr00759, csr00760"
Master's in Innovation and Entrepreneurship,,spc00066,"csr00761, csr00762, csr00763, csr00764"
Professional Certificate in Innovation Management and Entrepreneurship,,spc00067,"csr00765, csr00766, csr00767, csr00768"
Managerial Economics and Business Analysis ,University of Illinois at Urbana-Champaign,spc00068,"csr00769, csr00770, csr00771, csr00772, csr00773, csr00774, csr00775"
Strategic Business Analytics,ESSEC Business School,spc00069,"csr00776, csr00777, csr00778, csr00779, csr00780"
Excel Skills for Business,Macquarie University,spc00070,"csr00781, csr00782, csr00783, csr00784"
Statistical Molecular Thermodynamics,University of Minnesota,spc00071,"csr00825, csr00826, csr00827, csr00828"
Statistical Thermodynamics: Molecules to Machines,Carnegie Mellon University,spc00072,"csr00829, csr00830, csr00831, csr00832, csr00833, csr00834, csr00835"
Social Media Marketing,Northwestern University,spc00073,"csr00838, csr00839, csr00840, csr00841, csr00842, csr00843"
Social Media Data Analytics,Rutgers the State University of New Jersey,spc00074,"csr00844, csr00845, csr00846"
What is Social?,Northwestern University,spc00075,"csr00847, csr00848, csr00849, csr00850, csr00851"
Design Patterns,University of Alberta,spc00076,"csr00855, csr00856, csr00857, csr00858, csr00859"
Fashion as Design,The Museum of Modern Art,spc00077,"csr00860, csr00861, csr00862, csr00863, csr00864, csr00865, csr00866, csr00867"
Graphic Design,California Institute of the Arts,spc00078,"csr00868, csr00869, csr00870, csr00871, csr00872"
Introduction to User Experience Design ,Georgia Institute of Technology,spc00079,"csr00873, csr00874, csr00875, csr00876, csr00877"
Cryptography and Information Theory,University of Colorado System,spc00080,"csr00878, csr00879, csr00880, csr00881, csr00882"
Academic Information Seeking,"University of Copenhagen, Technical University of Denmark (DTU)",spc00081,"csr00883, csr00884, csr00885, csr00886, csr00887, csr00888, csr00889, csr00890"
Metaliteracy: Empowering Yourself in a Connected World,The State University of New York,spc00082,"csr00891, csr00892, csr00893, csr00894, csr00895"
Mindware: Critical Thinking for the Information Age ,University of Michigan,spc00083,"csr00896, csr00897, csr00898, csr00899, csr00900"
Business Analytics,University of Pennsylvania,spc00084,"csr00901, csr00902, csr00903, csr00904"
Introduction to Complex Analysis,Wesleyan University,spc00085,"csr00920, csr00921, csr00922, csr00923, csr00924"
Analysis of Algorithms,Princeton University,spc00086,"csr00925, csr00926, csr00927, csr00928, csr00929"
Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",spc00087,"csr00935, csr00936, csr00937, csr00938, csr00939, csr00940, csr00941"
Business Statistics and Analysis,Rice University,spc00088,"csr00942, csr00943, csr00944, csr00945, csr00946"
"Internet History, Technology, and Security",University of Michigan,spc00089,"csr00962, csr00963, csr00964, csr00965, csr00966, csr00967"
The Impact of Technology,EIT Digital ,spc00090,"csr00968, csr00969, csr00970, csr00971, csr00972, csr00973"
Get Interactive: Practical Teaching with Technology,"University of London, Bloomsbury Learning Environment",spc00091,"csr00974, csr00975, csr00976, csr00977, csr00978, csr00979, csr00980, csr00981, csr00982, csr00983"
Fundamentals of Network Communication,University of Colorado System,spc00092,"csr01001, csr01002, csr01003, csr01004"
Network Protocols and Architecture,Cisco,spc00093,"csr01005, csr01006, csr01007, csr01008, csr01009"
Digital Marketing,University of Illinois at Urbana-Champaign,spc00094,"csr01028, csr01029, csr01030, csr01031, csr01032, csr01033, csr01034"
Introduction to Marketing,University of Pennsylvania,spc00095,"csr01035, csr01036, csr01037, csr01038, csr01039, csr01040"
Business Foundations,University of Pennsylvania,spc00096,"csr01041, csr01042, csr01043, csr01044, csr01045, csr01046"
Marketing in a Digital World,University of Illinois at Urbana-Champaign,spc00097,"csr01047, csr01048, csr01049, csr01050, csr01051"
The Cycle: Management of Successful Arts and Cultural Organizations,"University of Maryland, College Park",spc00098,"csr01052, csr01053, csr01054, csr01055, csr01056, csr01057"
Food & Beverage Management,Universit Bocconi,spc00099,"csr01058, csr01059, csr01060, csr01061"
International Marketing Entry and Execution,Yonsei University,spc00100,"csr01062, csr01063, csr01064, csr01065, csr01066"
International Marketing & Cross Industry Growth ,Yonsei University,spc00101,"csr01067, csr01068, csr01069, csr01070, csr01071"
Introduccin al Marketing,University of Pennsylvania,spc00102,"csr01072, csr01073, csr01074, csr01075, csr01076, csr01077"
The Strategy of Content Marketing,"University of California, Davis",spc00103,"csr01078, csr01079, csr01080, csr01081, csr01082"
Digital Product Management: Modern Fundamentals,University of Virginia,spc00104,"csr01093, csr01094, csr01095, csr01096, csr01097, csr01098, csr01099"
Digital Signal Processing,cole Polytechnique Fdrale de Lausanne,spc00105,"csr01104, csr01105, csr01106, csr01107, csr01108, csr01109, csr01110, csr01111, csr01112, csr01113"
Digital Footprint,The University of Edinburgh,spc00106,"csr01114, csr01115, csr01116, csr01117, csr01118"
Introduction to Electronics,Georgia Institute of Technology,spc00107,"csr01135, csr01136, csr01137, csr01138, csr01139, csr01140"
Software Architecture,University of Alberta,spc00108,"csr01160, csr01161, csr01162, csr01163"
Service-Oriented Architecture,University of Alberta,spc00109,"csr01164, csr01165, csr01166, csr01167"
Computer Architecture,Princeton University,spc00110,"csr01168, csr01169, csr01170, csr01171"
Financing and Investing in Infrastructure,Universit Bocconi,spc00111,"csr01189, csr01190, csr01191, csr01192, csr01193, csr01194"
Smart Cities  Management of Smart Urban Infrastructures,cole Polytechnique Fdrale de Lausanne,spc00112,"csr01195, csr01196, csr01197, csr01198"
Beginning Game Programming with C#,University of Colorado System,spc00113,"csr01225, csr01226, csr01227, csr01228, csr01229, csr01230"
Programming for Everybody (Getting Started with Python),University of Michigan,spc00114,"csr01235, csr01236, csr01237, csr01238, csr01239"
Code Yourself! An Introduction to Programming,"The University of Edinburgh, Universidad ORT Uruguay",spc00115,"csr01240, csr01241, csr01242, csr01243"
Introduction to Programming with MATLAB,Vanderbilt University,spc00116,"csr01244, csr01245, csr01246"
An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine",spc00117,"csr01247, csr01248, csr01249, csr01250, csr01251"
Google Cloud Platform Fundamentals: Core Infrastructure,Google Cloud,spc00118,"csr01269, csr01270, csr01271, csr01272, csr01273, csr01274"
Data Science at Scale,University of Washington,spc00119,"csr01275, csr01276, csr01277, csr01278"
"Big Data Essentials: HDFS, MapReduce and Spark RDD",Yandex,spc00120,"csr01303, csr01304, csr01305, csr01306, csr01307"
Maps and the Geospatial Revolution,The Pennsylvania State University,spc00121,"csr01308, csr01309, csr01310, csr01311"
Visual Analytics with Tableau,"University of California, Davis",spc00122,"csr01318, csr01319, csr01320, csr01321, csr01322"
Homeland Security and Cybersecurity,University of Colorado System,spc00123,"csr01348, csr01349, csr01350, csr01351, csr01352"
Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences,The University of Edinburgh,spc00124,"csr01353, csr01354, csr01355, csr01356"
Personality Types at Work,University of Florida,spc00125,"csr01357, csr01358, csr01359, csr01360"
Entrepreneurship,University of Pennsylvania,spc00126,"csr01396, csr01397, csr01398, csr01399"
Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,spc00127,"csr01400, csr01401, csr01402, csr01403, csr01404, csr01405"
English for Business and Entrepreneurship,University of Pennsylvania,spc00128,"csr01406, csr01407, csr01408"
Entrepreneurship 2: Launching your Start-Up,University of Pennsylvania,spc00129,"csr01409, csr01410, csr01411, csr01412"
Career Success,"University of California, Irvine",spc00130,"csr01413, csr01414, csr01415, csr01416, csr01417, csr01418, csr01419"
Cyber Threats and Attack Vectors,University of Colorado System,spc00131,"csr01433, csr01434, csr01435, csr01436, csr01437"
Detecting and Mitigating Cyber Threats and Attacks,University of Colorado System,spc00132,"csr01438, csr01439, csr01440, csr01441"
Cybersecurity,"University of Maryland, College Park",spc00133,"csr01442, csr01443, csr01444"
Bitcoin and Cryptocurrency Technologies,Princeton University,spc00134,"csr01445, csr01446, csr01447, csr01448"
"Knowledge Exchange: Using, Protecting and Monetizing Ideas with Third Parties","Universiteit Leiden, Leiden University Medical Center, Luris",spc00135,"csr01465, csr01466, csr01467, csr01468, csr01469"
 (Journey of the Universe: Weaving Knowledge and Action),Yale University,spc00136,"csr01470, csr01471, csr01472, csr01473, csr01474"
Big History: Connecting Knowledge,Macquarie University,spc00137,"csr01475, csr01476, csr01477, csr01478, csr01479, csr01480, csr01481"
Geographic Information Systems (GIS),"University of California, Davis",spc00138,"csr01482, csr01483, csr01484, csr01485"
Fundamentals of Computing,Rice University,spc00139,"csr01491, csr01492, csr01493, csr01494"
The Data Scientists Toolbox,Johns Hopkins University,spc00140,"csr01495, csr01496, csr01497, csr01498"
Introduction to Formal Concept Analysis,Higher School of Economics,spc00141,"csr01499, csr01500, csr01501, csr01502"
Journey Conversations: Weaving Knowledge and Action,Yale University,spc00142,"csr01503, csr01504, csr01505, csr01506, csr01507"
Six Sigma Green Belt,University System of Georgia,spc00143,"csr01508, csr01509, csr01510, csr01511"
Introduction to Graph Theory,"University of California, San Diego, Higher School of Economics",spc00144,"csr01522, csr01523, csr01524"
"Big Data Analysis: Hive, Spark SQL, DataFrames and GraphFrames",Yandex,spc00145,"csr01525, csr01526, csr01527, csr01528, csr01529, csr01530"
Probabilistic Graphical Models ,Stanford University,spc00146,"csr01531, csr01532, csr01533, csr01534, csr01535, csr01536"
Combinatorics and Probability,"University of California, San Diego, Higher School of Economics",spc00147,"csr01558, csr01559, csr01560, csr01561, csr01562"
An Intuitive Introduction to Probability,University of Zurich,spc00148,"csr01563, csr01564, csr01565"
Introduction to Probability and Data,Duke University,spc00149,"csr01571, csr01572, csr01573, csr01574, csr01575"
Statistics with R,Duke University,spc00150,"csr01576, csr01577, csr01578, csr01579, csr01580"
Probabilistic Graphical Models 1: Representation,Stanford University,spc00151,"csr01585, csr01586, csr01587, csr01588, csr01589"
Introduction to Engineering Mechanics,Georgia Institute of Technology,spc00152,"csr01603, csr01604, csr01605, csr01606, csr01607"
Materials Science: 10 Things Every Engineer Should Know,"University of California, Davis",spc00153,"csr01608, csr01609, csr01610, csr01611, csr01612, csr01613"
Fundamentals of Engineering Exam Review,Georgia Institute of Technology,spc00154,"csr01619, csr01620, csr01621"
Engineering Systems in Motion: Dynamics of Particles and Bodies in 2D Motion,Georgia Institute of Technology,spc00155,"csr01622, csr01623, csr01624"
Applications in Engineering Mechanics,Georgia Institute of Technology,spc00156,"csr01628, csr01629, csr01630, csr01631, csr01632"
Cryptography I,Stanford University,spc00157,"csr01646, csr01647, csr01648, csr01649"
Essential Design Principles for Tableau,"University of California, Davis",spc00158,"csr01650, csr01651, csr01652, csr01653, csr01654, csr01655"
Digital Transformation in Financial Services,Copenhagen Business School,spc00159,"csr01656, csr01657, csr01658, csr01659, csr01660"
Systems Biology and Biotechnology,Icahn School of Medicine at Mount Sinai,spc00160,"csr01661, csr01662, csr01663, csr01664"
Global Warming I: The Science and Modeling of Climate Change,The University of Chicago,spc00161,"csr01665, csr01666, csr01667, csr01668"
Business English: Meetings,University of Washington,spc00162,"csr01684, csr01685, csr01686, csr01687, csr01688"
Introduction to Systems Biology,Icahn School of Medicine at Mount Sinai,spc00163,"csr01689, csr01690, csr01691, csr01692, csr01693"
Dynamical Modeling Methods for Systems Biology,Icahn School of Medicine at Mount Sinai,spc00164,"csr01694, csr01695, csr01696, csr01697"
Software Design Methods and Tools,University of Colorado System,spc00165,"csr01698, csr01699, csr01700, csr01701, csr01702"
"HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Social/Peer Perspective)",Columbia University,spc00166,"csr01719, csr01720, csr01721, csr01722, csr01723"
Subsistence Marketplaces,University of Illinois at Urbana-Champaign,spc00167,"csr01743, csr01744, csr01745, csr01746, csr01747"
"Espace mondial, une vision franaise des global studies",Sciences Po,spc00168,"csr01753, csr01754, csr01755, csr01756, csr01757"
Virtual Teacher,"University of California, Irvine",spc00169,"csr01758, csr01759, csr01760, csr01761, csr01762"
Advanced Search Engine Optimization Strategies,"University of California, Davis",spc00170,"csr01763, csr01764, csr01765, csr01766, csr01767"
"Espace mondial, a French vision of Global studies",Sciences Po,spc00171,"csr01768, csr01769, csr01770, csr01771, csr01772, csr01773, csr01774"
Innovative Finance: Hacking finance to change the world ,University of Cape Town,spc00172,"csr01789, csr01790, csr01791, csr01792, csr01793, csr01794"
Content Strategy for Professionals: Expanding Your Contents Reach,Northwestern University,spc00173,"csr01795, csr01796, csr01797, csr01798, csr01799, csr01800"
Survey analysis to Gain Marketing Insights,Emory University,spc00174,"csr01839, csr01840, csr01841, csr01842"
The Importance of Listening,Northwestern University,spc00175,"csr01862, csr01863, csr01864, csr01865, csr01866"
Pricing Strategy,IE Business School,spc00176,"csr01867, csr01868, csr01869, csr01870, csr01871"
The Business of Social,Northwestern University,spc00177,"csr01872, csr01873, csr01874, csr01875, csr01876"
Channel Management and Retailing ,IE Business School,spc00178,"csr01877, csr01878, csr01879, csr01880"
Introduction to Social Media Analytics,Emory University,spc00179,"csr01881, csr01882, csr01883, csr01884, csr01885"
Essentials of Corporate Finance,The University of Melbourne,spc00180,"csr01886, csr01887, csr01888, csr01889, csr01890, csr01891, csr01892"
Investigacin de mercados y comportamiento del consumidor,IE Business School,spc00181,"csr01893, csr01894, csr01895, csr01896, csr01897"
Fundamentals of Global Energy Business,University of Colorado System,spc00182,"csr01902, csr01903, csr01904, csr01905, csr01906"
Business Growth Strategy,University of Virginia,spc00183,"csr01907, csr01908, csr01909, csr01910, csr01911"
Questionnaire Design for Social Surveys,University of Michigan,spc00184,"csr01922, csr01923, csr01924, csr01925, csr01926"
Capstone Design Project in Power Electronics,University of Colorado Boulder,spc00185,"csr01966, csr01967, csr01968, csr01969, csr01970"
Competitive Strategy and Organization Design Project,Ludwig-Maximilians-Universitt Mnchen (LMU),spc00186,"csr01971, csr01972, csr01973, csr01974, csr01975"
Design and Build a Data Warehouse for Business Intelligence Implementation,University of Colorado System,spc00187,"csr01976, csr01977, csr01978, csr01979"
Game Design Document: Define the Art & Concepts,California Institute of the Arts,spc00188,"csr01980, csr01981, csr01982, csr01983, csr01984"
Introduction to Typography,California Institute of the Arts,spc00189,"csr01985, csr01986, csr01987, csr01988, csr01989"